x_value,total_1,total_2
0,1000,1000
1,1004,1001
2,999,1003
3,993,1007
4,989,1010
5,992,1013
6,996,1012
7,1004,1013
8,1012,1016
9,1019,1018
10,1017,1022
11,1014,1027
12,1016,1033
13,1016,1029
14,1011,1026
15,1013,1024
16,1008,1023
17,1004,1024
18,1003,1028
19,1006,1026
20,1007,1024
21,1003,1028
22,1010,1033
23,1009,1039
24,1014,1037
25,1022,1042
26,1023,1038
27,1022,1044
28,1022,1041
29,1022,1037
30,1023,1043
31,1020,1042
32,1024,1042
33,1022,1039
34,1020,1044
35,1018,1039
36,1022,1039
37,1022,1034
38,1017,1030
39,1020,1027
40,1023,1027
41,1017,1022
42,1013,1019
43,1012,1022
44,1013,1022
45,1008,1017
46,1003,1014
47,1011,1016
48,1018,1013
49,1024,1012
50,1023,1014
51,1021,1013
52,1021,1019
53,1028,1020
54,1024,1016
55,1028,1012
56,1036,1010
57,1031,1007
58,1030,1002
59,1031,1001
60,1027,1003
61,1022,1005
62,1018,1006
63,1021,1011
64,1024,1014
65,1029,1010
66,1024,1015
67,1025,1011
68,1025,1010
69,1027,1008
70,1029,1010
71,1031,1010
72,1036,1014
73,1042,1016
74,1038,1019
75,1034,1018
76,1031,1014
77,1029,1010
78,1036,1015
79,1037,1011
80,1037,1013
81,1045,1010
82,1049,1013
83,1050,1019
84,1051,1024
85,1053,1027
86,1054,1031
87,1049,1036
88,1045,1032
89,1049,1038
90,1050,1035
91,1051,1030
92,1047,1029
93,1047,1033
94,1055,1030
95,1057,1032
96,1058,1032
97,1066,1036
98,1062,1034
